,city_name,city_avg_wait,store_location,location_wait
0,"Orange County, CA",13,Cypress,15
1,"Orange County, CA",13,Fountain Valley,30
2,"Orange County, CA",13,Fullerton,20
3,"Orange County, CA",13,Garden Grove,10
4,"Orange County, CA",13,Huntington Beach,5
5,"Orange County, CA",13,Irvine,15
6,"Orange County, CA",13,La Habra,10
7,"Orange County, CA",13,Laguna Marketplace,5
8,"Orange County, CA",13,Laguna Niguel,20
9,"Orange County, CA",13,San Juan Capistrano,20
10,"Orange County, CA",13,Tustin,1
11,"Orange County, CA",13,Tustin Ranch,10
12,"Orange County, CA",13,Westminster Business Center,5
13,"Orange County, CA",13,Yorba Linda,10
14,Tampa Bay,11,Brandon,5
15,Tampa Bay,11,W Tampa (Linebaugh Ave),10
16,Tampa Bay,11,Clearwater,15
17,Tampa Bay,11,Wesley Chapel,15
18,Tampa Bay,11,Bradenton,5
19,Tampa Bay,11,Sarasota Mall,15
20,Detroit,13,Roseville,20
21,Detroit,13,Madison Heights,15
22,Detroit,13,Middlebelt,15
23,Detroit,13,Haggerty,5
24,Detroit,13,Lakeside,15
25,Detroit,13,Bloomfield,10
26,Detroit,13,Commerce Township,15
27,Detroit,13,Auburn Hills,10
28,Detroit,13,Ann Arbor,15
29,Detroit,13,Brighton,10
30,Portland,11,Tigard,5
31,Portland,11,Clackamas,5
32,Portland,11,Aloha,20
33,Portland,11,Portland,1
34,Portland,11,Vancouver WA,20
35,Portland,11,E Vancouver WA,10
36,Portland,11,Hillsboro,20
37,Portland,11,Wilsonville,5
38,Minneapolis,13,Minneapolis Business Center,1
39,Minneapolis,13,St Louis Park,10
40,Minneapolis,13,Eagan,20
41,Minneapolis,13,Maple Grove,20
42,Minneapolis,13,Eden Prairie,15
43,Minneapolis,13,Maplewood,15
44,Minneapolis,13,Woodbury,20
45,Minneapolis,13,Coon Rapids,1
46,Minneapolis,13,Burnsville,15
47,Phoenix,13,Phoenix Business Center,5
48,Phoenix,13,Phoenix (Montebello Ave),20
49,Phoenix,13,Thomas Road (Arcadia Crossing),20
50,Phoenix,13,Tempe,5
51,Phoenix,13,Avondale,15
52,Phoenix,13,Paradise Valley,20
53,Phoenix,13,Gilbert (Arizona Ave),10
54,Phoenix,13,Chandler,15
55,Phoenix,13,N Phoenix (27th Ave),20
56,Phoenix,13,Cave Creek,15
57,Phoenix,13,Scottsdale,5
58,Phoenix,13,Glendale,5
59,Phoenix,13,SE Gilbert (Market St),5
60,Phoenix,13,Mesa,20
61,Atlanta,12,Brookhaven,10
62,Atlanta,12,Cumberland Mall,5
63,Atlanta,12,Perimeter,20
64,Atlanta,12,Morrow Business Center,5
65,Atlanta,12,Gwinnett,5
66,Atlanta,12,Town Center,15
67,Atlanta,12,Alpharetta,15
68,Atlanta,12,Woodstock,10
69,Atlanta,12,Sharpsburg,20
70,Atlanta,12,Mall Of Georgia,10
71,Atlanta,12,Cumming,15
72,Denver,15,Denver Business Center,5
73,Denver,15,Arvada,10
74,Denver,15,Sheridan,5
75,Denver,15,Aurora,20
76,Denver,15,SW Denver (Quincy Ave),15
77,Denver,15,Westminster,15
78,Denver,15,Douglas County (Park Meadows),15
79,Denver,15,Parker,30
80,Denver,15,Thornton,20
81,Denver,15,Superior,15
82,Denver,15,Timnath,20
83,Seattle,11,Seattle,10
84,Seattle,11,Kirkland,10
85,Seattle,11,Tukwila,20
86,Seattle,11,Redmond,1
87,Seattle,11,Aurora Village,20
88,Seattle,11,Issaquah,5
89,Seattle,11,Woodinville,10
90,Seattle,11,Lynnwood Business Center,5
91,Seattle,11,Lynnwood,15
92,Seattle,11,Silverdale,20
93,Seattle,11,Covington,10
94,Seattle,11,Gig Harbor,15
95,Seattle,11,Everett,15
96,Seattle,11,Federal Way,20
97,Seattle,11,Fife Business Center,1
98,Seattle,11,Tacoma,20
99,Seattle,11,Puyallup,5
100,Seattle,11,Bonney Lake,10
101,Seattle,11,Marysville,5
102,Chicago,11,Chicago South Loop,15
103,Chicago,11,Lincoln Park,20
104,Chicago,11,North Riverside IL,5
105,Chicago,11,Bedford Park Business Center,5
106,Chicago,11,Melrose Park,10
107,Chicago,11,Niles,5
108,Chicago,11,Oak Brook,5
109,Chicago,11,Glenview,20
110,Chicago,11,Mt Prospect,20
111,Chicago,11,Orland Park,10
112,Chicago,11,Bolingbrook,10
113,Chicago,11,Schaumburg,10
114,Chicago,11,Bloomingdale,5
115,Chicago,11,Mettawa,15
116,Chicago,11,Lake Zurich,10
117,Chicago,11,Naperville,15
118,Chicago,11,Merrillville,15
119,Chicago,11,St Charles,5
120,Chicago,11,Lake In The Hills,5
121,Houston,13,Cypress,10
122,Houston,13,Galleria,5
123,Houston,13,Bunker Hill,5
124,Houston,13,Pearland,10
125,Houston,13,Willowbrook,20
126,Houston,13,Humble,15
127,Houston,13,Sugar Land,20
128,Houston,13,Webster,10
129,Houston,13,W Katy,20
130,Houston,13,Woodlands,15
131,Miami,10,Miami,15
132,Miami,10,N Miami,10
133,Miami,10,Miami Lakes,15
134,Miami,10,Kendall,5
135,Miami,10,Pembroke Pines,5
136,Miami,10,Davie,10
137,Miami,10,Pompano,15
138,Miami,10,Coral Springs,10
139,Miami,10,Boca Raton,15
140,Miami,10,Lantana,10
141,Miami,10,Royal Palm Beach,10
142,Miami,10,Palm Beach Gardens,5
143,New York,14,Brooklyn,20
144,New York,14,Queens,20
145,New York,14,Manhattan,15
146,New York,14,Rego Park,10
147,New York,14,Staten Island,15
148,New York,14,Lawrence,20
149,New York,14,New Rochelle,1
150,New York,14,Yonkers,5
151,New York,14,Oceanside,10
152,New York,14,Westbury,30
153,New York,14,Port Chester,15
154,New York,14,Nanuet,10
155,New York,14,Melville,5
156,New York,14,Commack,15
157,New York,14,Nesconset,15
158,New York,14,Holbrook,15
159,New York,14,Riverhead,10
160,Inland Empire,15,Chino Hills,20
161,Inland Empire,15,Eastvale,15
162,Inland Empire,15,Fontana,5
163,Inland Empire,15,Lake Elsinore,15
164,Inland Empire,15,Lancaster,5
165,Inland Empire,15,Montclair,20
166,Inland Empire,15,Moreno Valley,10
167,Inland Empire,15,Rancho Cucamonga,5
168,Inland Empire,15,San Bernardino,20
169,Inland Empire,15,Temecula,15
170,Inland Empire,15,Victorville,30
171,Los Angeles,16,Alhambra,5
172,Los Angeles,16,Azusa,15
173,Los Angeles,16,Burbank,10
174,Los Angeles,16,Burbank Business Center,10
175,Los Angeles,16,City of Industry,15
176,Los Angeles,16,Commerce Business Center,5
177,Los Angeles,16,Culver City,120
178,Los Angeles,16,Hawthorne,10
179,Los Angeles,16,Hawthorne Business Center,20
180,Los Angeles,16,Inglewood,10
181,Los Angeles,16,Lakewood,15
182,Los Angeles,16,Los Feliz,10
183,Los Angeles,16,Monterey Park,10
184,Los Angeles,16,Northridge,10
185,Los Angeles,16,Norwalk,15
186,Los Angeles,16,Oxnard,5
187,Los Angeles,16,Pacoima,15
188,Los Angeles,16,San Dimas,10
189,Los Angeles,16,Santa Clarita,5
190,Los Angeles,16,Signal Hill,15
191,Los Angeles,16,Simi Valley,15
192,Los Angeles,16,Torrance,15
193,Los Angeles,16,Van Nuys,20
194,Los Angeles,16,Westlake Village,5
195,Los Angeles,16,Woodland Hills,5
196,Dallas/Fort Worth,12,Arlington,10
197,Dallas/Fort Worth,12,Dallas,10
198,Dallas/Fort Worth,12,Dallas Business Center,10
199,Dallas/Fort Worth,12,Duncanville,10
200,Dallas/Fort Worth,12,E Plano,15
201,Dallas/Fort Worth,12,Fort Worth,20
202,Dallas/Fort Worth,12,Frisco,5
