,city_name,city_avg_wait,store_location,location_wait
0,"Orange County, CA",20,Cypress,15
1,"Orange County, CA",20,Fountain Valley,10
2,"Orange County, CA",20,Fullerton,20
3,"Orange County, CA",20,Garden Grove,15
4,"Orange County, CA",20,Huntington Beach,10
5,"Orange County, CA",20,Irvine,1
6,"Orange County, CA",20,La Habra,10
7,"Orange County, CA",20,Laguna Marketplace,15
8,"Orange County, CA",20,Laguna Niguel,15
9,"Orange County, CA",20,San Juan Capistrano,5
10,"Orange County, CA",20,Tustin,1
11,"Orange County, CA",20,Tustin Ranch,30
12,"Orange County, CA",20,Westminster Business Center,10
13,"Orange County, CA",20,Yorba Linda,120
14,Tampa Bay,13,Brandon,10
15,Tampa Bay,13,W Tampa (Linebaugh Ave),5
16,Tampa Bay,13,Clearwater,20
17,Tampa Bay,13,Wesley Chapel,20
18,Tampa Bay,13,Bradenton,10
19,Tampa Bay,13,Sarasota Mall,10
20,Detroit,15,Roseville,10
21,Detroit,15,Madison Heights,10
22,Detroit,15,Middlebelt,10
23,Detroit,15,Haggerty,20
24,Detroit,15,Lakeside,15
25,Detroit,15,Bloomfield,15
26,Detroit,15,Commerce Township,30
27,Detroit,15,Auburn Hills,5
28,Detroit,15,Ann Arbor,15
29,Detroit,15,Brighton,15
30,Portland,14,Tigard,20
31,Portland,14,Clackamas,10
32,Portland,14,Aloha,20
33,Portland,14,Portland,10
34,Portland,14,Vancouver WA,10
35,Portland,14,E Vancouver WA,15
36,Portland,14,Hillsboro,15
37,Portland,14,Wilsonville,15
38,Minneapolis,13,Minneapolis Business Center,5
39,Minneapolis,13,St Louis Park,10
40,Minneapolis,13,Eagan,15
41,Minneapolis,13,Maple Grove,15
42,Minneapolis,13,Eden Prairie,20
43,Minneapolis,13,Maplewood,10
44,Minneapolis,13,Woodbury,10
45,Minneapolis,13,Coon Rapids,10
46,Minneapolis,13,Burnsville,20
47,Phoenix,13,Phoenix Business Center,5
48,Phoenix,13,Phoenix (Montebello Ave),10
49,Phoenix,13,Thomas Road (Arcadia Crossing),10
50,Phoenix,13,Tempe,10
51,Phoenix,13,Avondale,5
52,Phoenix,13,Paradise Valley,10
53,Phoenix,13,Gilbert (Arizona Ave),15
54,Phoenix,13,Chandler,10
55,Phoenix,13,N Phoenix (27th Ave),15
56,Phoenix,13,Cave Creek,15
57,Phoenix,13,Scottsdale,30
58,Phoenix,13,Glendale,15
59,Phoenix,13,SE Gilbert (Market St),15
60,Phoenix,13,Mesa,10
61,Atlanta,12,Brookhaven,1
62,Atlanta,12,Cumberland Mall,10
63,Atlanta,12,Perimeter,10
64,Atlanta,12,Morrow Business Center,5
65,Atlanta,12,Gwinnett,5
66,Atlanta,12,Town Center,30
67,Atlanta,12,Alpharetta,10
68,Atlanta,12,Woodstock,15
69,Atlanta,12,Sharpsburg,15
70,Atlanta,12,Mall Of Georgia,15
71,Atlanta,12,Cumming,20
72,Denver,12,Denver Business Center,5
73,Denver,12,Arvada,5
74,Denver,12,Sheridan,15
75,Denver,12,Aurora,15
76,Denver,12,SW Denver (Quincy Ave),10
77,Denver,12,Westminster,5
78,Denver,12,Douglas County (Park Meadows),15
79,Denver,12,Parker,20
80,Denver,12,Thornton,20
81,Denver,12,Superior,5
82,Denver,12,Timnath,15
83,Seattle,13,Seattle,1
84,Seattle,13,Kirkland,10
85,Seattle,13,Tukwila,15
86,Seattle,13,Redmond,20
87,Seattle,13,Aurora Village,5
88,Seattle,13,Issaquah,10
89,Seattle,13,Woodinville,10
90,Seattle,13,Lynnwood Business Center,10
