,city_name,city_avg_wait,store_location,location_wait
0,"Orange County, CA",14,Cypress,10
1,"Orange County, CA",14,Fountain Valley,1
2,"Orange County, CA",14,Fullerton,20
3,"Orange County, CA",14,Garden Grove,15
4,"Orange County, CA",14,Huntington Beach,15
5,"Orange County, CA",14,Irvine,10
6,"Orange County, CA",14,La Habra,15
7,"Orange County, CA",14,Laguna Marketplace,30
8,"Orange County, CA",14,Laguna Niguel,10
9,"Orange County, CA",14,San Juan Capistrano,15
10,"Orange County, CA",14,Tustin,5
11,"Orange County, CA",14,Tustin Ranch,20
12,"Orange County, CA",14,Westminster Business Center,10
13,"Orange County, CA",14,Yorba Linda,15
14,Tampa Bay,16,Brandon,15
15,Tampa Bay,16,W Tampa (Linebaugh Ave),10
16,Tampa Bay,16,Clearwater,20
17,Tampa Bay,16,Wesley Chapel,15
18,Tampa Bay,16,Bradenton,15
19,Tampa Bay,16,Sarasota Mall,20
20,Detroit,21,Roseville,5
21,Detroit,21,Madison Heights,20
22,Detroit,21,Middlebelt,20
23,Detroit,21,Haggerty,15
24,Detroit,21,Lakeside,20
25,Detroit,21,Bloomfield,60
26,Detroit,21,Commerce Township,15
27,Detroit,21,Auburn Hills,15
28,Detroit,21,Ann Arbor,20
29,Detroit,21,Brighton,15
30,Portland,16,Tigard,20
31,Portland,16,Clackamas,15
32,Portland,16,Aloha,15
33,Portland,16,Portland,5
34,Portland,16,Vancouver WA,20
35,Portland,16,E Vancouver WA,15
36,Portland,16,Hillsboro,15
37,Portland,16,Wilsonville,20
38,Minneapolis,12,Minneapolis Business Center,5
39,Minneapolis,12,St Louis Park,10
40,Minneapolis,12,Eagan,20
41,Minneapolis,12,Maple Grove,5
42,Minneapolis,12,Eden Prairie,20
43,Minneapolis,12,Maplewood,15
44,Minneapolis,12,Woodbury,15
45,Minneapolis,12,Coon Rapids,5
46,Minneapolis,12,Burnsville,10
47,Phoenix,17,Phoenix Business Center,10
48,Phoenix,17,Phoenix (Montebello Ave),15
49,Phoenix,17,Thomas Road (Arcadia Crossing),20
50,Phoenix,17,Tempe,5
51,Phoenix,17,Avondale,30
52,Phoenix,17,Paradise Valley,20
53,Phoenix,17,Gilbert (Arizona Ave),30
54,Phoenix,17,Chandler,20
55,Phoenix,17,N Phoenix (27th Ave),10
56,Phoenix,17,Cave Creek,20
57,Phoenix,17,Scottsdale,20
58,Phoenix,17,Glendale,15
59,Phoenix,17,SE Gilbert (Market St),5
60,Phoenix,17,Mesa,20
61,Atlanta,13,Brookhaven,10
62,Atlanta,13,Cumberland Mall,5
63,Atlanta,13,Perimeter,20
64,Atlanta,13,Morrow Business Center,5
65,Atlanta,13,Gwinnett,5
66,Atlanta,13,Town Center,20
67,Atlanta,13,Alpharetta,15
68,Atlanta,13,Woodstock,20
69,Atlanta,13,Sharpsburg,15
70,Atlanta,13,Mall Of Georgia,15
71,Atlanta,13,Cumming,15
72,Denver,9,Denver Business Center,5
73,Denver,9,Arvada,5
74,Denver,9,Sheridan,10
